"1.3.0","1.3.0","BTS"
"1.3.706","1.3.706","FLOWER"
"1.3.707","1.3.707","POPCORN"
"1.3.708","1.3.708","TWEET"
"1.3.709","1.3.709","FELIZ"
"1.3.710","1.3.710","KISS"
"1.3.711","1.3.711","KISSES"
"1.3.712","1.3.712","LIKES"
"1.3.713","1.3.713","MEDAL"
"1.3.714","1.3.714","BASTIAT"
"1.3.715","1.3.715","CREDO"
"1.3.716","1.3.716","CARAT"
"1.3.717","1.3.717","ELECTRUM"
"1.3.718","1.3.718","LYDIA"
"1.3.719","1.3.719","PUSSY"
"1.3.720","1.3.720","BARRAS"
"1.3.721","1.3.721","DOLLARS"
